productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
5800878,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Oro AtlÃ¡ntico TurrÃ³n,5800878,"","","","","Pasteles, tartas, reposterÃ­a, otros",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
3041,Surtido seco,Golosinas,ES,NESTLE POSTRE FONDUE+BOL CERAMICA,"",ALIMENTACION SECA,CHOCOLATES Y CREMAS,TABLETAS CHOCOLATE,TABLETAS CHOCOLATE,Otros productos a base de chocolate,false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4105,Surtido seco,Delicatessen/Especias/Mostaza,ES,Hellmann's Mayonesa,"","","","","","Mayonesa, salsa tÃ¡rtara",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
6174,Congelado,Congelados,ES,Langostino austral,5701130,CONGELADOS,PESCADOS Y MARISCOS CONG.,MARISCO CONGELADO,LANGOSTINOS&GAMBAS CONG.,Pescado,true,true,Reducido,10.0,Keines,Congelados
6959,Surtido seco,Cosmetic,ES,ADIDAS BODY SPRAY SHOWER GEL,"","","","","","Geles de ducha, productos de baÃ±o, jabones",false,true,Ordinario,21.0,Keines,Surtido NF
7083,Surtido seco,Bebidas sin alcohol,ES,Font Vella agua pack 6,"",BEBIDAS,AGUA,AGUA,AGUA,Agua,false,false,Reducido,10.0,Keines,Bebidas
7641,Surtido seco,Cosmetic,ES,Fructis champÃº surt.,"",PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,CHAMPU,CHAMPU,Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
7723,Surtido seco,Cosmetic,ES,Garnier Color Sensation surt.,"",PERFUMERIA E HIGIENE,PRODUCTOS CAPILARES,COLORACION,COLORACION,Productos para el cuidado del cabello,false,true,Ordinario,21.0,Keines,Surtido NF
8116,Surtido seco,Golosinas,ES,HARIBO FAVORITOS AZUCAR,"",ALIMENTACION SECA,"CHICLES, CARAMELO, GOLOSI",GOLOSINAS,GOLOSINAS,"Golosinas, regaliz",false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5702466,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Pan rÃºstico con amapolas,5702466,ALIMENTACION SECA,PANADERIA INDUSTRIAL,OTROS PANES,OTROS PANES,"Pan de molde, pan, panecillos, baguettes",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5703905,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Proceli Base de pizza sin gluten,5703905,ALIMENTACION SECA,PANADERIA INDUSTRIAL,BASE PIZZA,BASE PIZZA,"Pan de molde, pan, panecillos, baguettes",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5705792,Surtido seco,Conservas carne / Platos preparados,ES,La Piara PatÃ© Tapa Negra,5705792,CONSERVAS,"CONS.CARNE,PATE Y SALCHICHAS",PATE Y FOIE ENV.,PATE Y FOIE ENV.,Conservas de carne / embutido / salchichas,false,false,Reducido,10.0,Keines,Conservas
1681,Frischbrot / Hot Convenience,Bake off,ES,Barra de pan,5702643,FRESCOS PERECEDEROS,PAN FRESCO,PAN FRESCO,PAN FRESCO,"Baguette, panecillos, brezel",false,true,Superreducido,4.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4890,Surtido seco,Cosmetic,ES,La Toja Pack Vintage,"",PERFUMERIA E HIGIENE,PROD.CORPORALES PERSO.,GEL DE BANO Y DUCHA,GEL DE BANO Y DUCHA,"Higiene bucal, afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
8452,Surtido seco,Alim.BÃ¡sica/Desayuno/Bio,ES,Gallo Pluma integral,"","","","","",Pasta,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
5701517,Carne,Pescado Fresco,ES,Sushi Lunch Tokio Sushi,5701517,PLATOS COCINADOS,RESTO PLATOS COCIN,RESTO PLATOS COCIN,RESTO PLATOS COCIN,Pescado fresco,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5707408,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bicentury Tortitas ch.blanco/f.rojo,5707408,ALIMENTACION SECA,LINEAL DIETETICA,TORTITAS,TORTITAS,"Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5708239,Surtido seco,Cosmetic,ES,Estuche Impacto,5708239,"","","","","Desodorante, colonia, perfume, lociÃ³n de afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
5708823,Surtido seco,Cosmetic,ES,Ecran Aftersun fluido reparador,5708823,"","","","",Productos solares,false,false,Ordinario,21.0,Keines,Surtido NF
5800672,Surtido seco,Desayuno,ES,Tirma Crema de guayaba,5800672,ALIMENTACION SECA,CHOCOLATES Y CREMAS,CREMAS UNTAR,OTRAS CREMAS UNTAR,"Crema de cacao con avellanas, otros productos para untar",false,true,Cero,0.0,Keines,AlimentaciÃ³n
746,Fruta y Verdura,Fruta,ES,ALBARICOQUES CESTA,"",FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,RESTO FRUTAS,Frutas de hueso,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
1345,Surtido seco,Cervezas / Derivados,ES,Amstel cerveza Pilsener,"",BEBIDAS,CERVEZA,CERVEZA,CON ALCOHOL,"Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
2145,Surtido seco,Alim.BÃ¡sica/Desayuno/Bio,ES,BUÃ‘UELOS PARA GUARNICION,"","","","","","Ingredientes y productos de panaderÃ­a y pastelerÃ­a, productos alimenticios, otros",false,true,Reducido,10.0,Keines,AlimentaciÃ³n
8112,Surtido seco,BollerÃ­a / Chips,ES,MISTER CORN MAÃZ FRITO,"","","","","","Frutos secos, fruta deshidratada",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
9557,Surtido seco,Cosmetic,ES,Nivea LociÃ³n After sun,"","","","","",Productos solares,false,false,Ordinario,21.0,Keines,Surtido NF
5705635,Nevera,Queso (nev),ES,Larsa Queso en lonchas clÃ¡sico,5705635,QUESOS,QUESO NATURAL,RTO. QSO NATURAL,RTO. QSO NATURAL,Queso de pasta dura y semidura (lonchas),false,false,Superreducido,4.0,Keines,Fresco
5706568,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Velarte Barritas de pan con pipas,5706568,ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN TOSTADO,"PALITO, PICO, PICOLIN","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5706606,Surtido seco,Conservas F&V,ES,Hida Tomate Frito,5706606,ALIMENTACION SECA,SALSAS,TOMATE FRITO,TOMATE FRITO,Conservas vegetales,false,false,Reducido,10.0,Keines,Conservas
5708716,Surtido seco,Cosmetic,ES,Skin Active Pure Active Exfopro,5708716,"","","","","Cremas, lociones, leche corporal, maquillaje",false,false,Ordinario,21.0,Keines,Surtido NF
889,Fruta y Verdura,Fruta,ES,PHYSALIS,"","","","","",Frutas exÃ³ticas,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
2896,Nevera,Mopro (nev),ES,COPA VAINILLA NATA,"","","","","",Postres y aperitivos,false,true,Reducido,10.0,Keines,Fresco
3196,Surtido seco,Golosinas,ES,HARIBO SPAGHETTI FRESA,"","","","","","Golosinas, regaliz",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4496,Surtido seco,BollerÃ­a / Chips,ES,OLD EL PASO FAJITA KIT,"","","","","","Aperitivos salados, patatas fritas, productos extrusionados",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
8045,Surtido seco,Cervezas / Derivados,ES,HR LATA CERVEZA - UNIDAD,"","","","","","Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
8443,Surtido seco,Cervezas / Derivados,ES,"Estrella Galicia especial A5,5%P13%",5703226,BEBIDAS,CERVEZA,CERVEZA,CON ALCOHOL,"Cerveza, combinados de cerveza",false,true,Ordinario,21.0,18,Bebidas
9094,Surtido seco,Conservas F&V,ES,Naturandina Leche de coco,5703362,LECHES Y BATIDOS,LECHE LIQUIDA,LECHES VEGETALES,LECHE COCO,Conservas de fruta,false,true,Reducido,10.0,Keines,Conservas
80055,Fruta y Verdura,Fruta,ES,Pomelo Chino,"","","","","",CÃ­tricos,true,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
103138,Frischbrot / Hot Convenience,Bake off,ES,Panecillo mediterrÃ¡neo,103138,FRESCOS PERECEDEROS,PAN FRESCO,PAN FRESCO,PAN FRESCO,"Baguette, panecillos, brezel",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5702449,Surtido seco,Vinos / Cavas,ES,Reula Garnacha tinto CariÃ±ena 2013,"",BEBIDAS,TOTAL VINOS,VINOS,CON DENOMINACION,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5703063,Surtido seco,Art. Hogar / medias,ES,Cars Platos,5703063,"","","","",Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
5709105,Surtido seco,Licores,ES,Aperol Aperitivo + Cinzano ProSprit,"","","","","",Licores,false,true,Ordinario,21.0,18,Bebidas
1201,Surtido seco,Vinos / Cavas,ES,Bach Extrissimo cava brut nature,"","","","","","Cava, vino espumoso, vino de aguja",false,false,Ordinario,21.0,18,Bebidas
8269,Surtido seco,Cosmetic,ES,H&S champÃº citrus,"","","","","",Productos para el cuidado del cabello,false,false,Ordinario,21.0,Keines,Surtido NF
68114,Surtido seco,Golosinas,ES,Nubes dulces rellenas de caramelo,68114,"","","","",Otros productos dulces,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
80275,Fruta y Verdura,Fruta,ES,Pera granel,80275,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,PERA,Frutas de pepita,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
82828,Fruta y Verdura,Verdura,ES,Remolacha fresca,82828,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,RESTO VERDURAS,Verduras (GrobegemÃ¼se),false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
5702827,Surtido seco,Golosinas,ES,Huesitos pack 2x20gr,5702827,ALIMENTACION SECA,CHOCOLATES Y CREMAS,CHOCOLATINAS&SNACKS,CHOCOLATINAS&SNACKS,Barritas (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5704749,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bimbo flats,5704749,ALIMENTACION SECA,PANADERIA INDUSTRIAL,OTROS PANES,OTROS PANES,"Pan de molde, pan, panecillos, baguettes",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5705729,Surtido seco,Art. Hogar / medias,ES,Tigex 2 chupetes lÃ¡tex fisiolÃ³gicos,5705729,PRODUCTOS PARA BEBE,PUERICULTURA LIGERA,OTROS,OTROS,Otros artÃ­culos domÃ©sticos,false,false,Ordinario,21.0,Keines,Surtido NF
5708285,Nevera,Embutidos (Nevera),ES,Palacios Chorizo sarta surt.,5708284,"","","","",Salami (pieza),false,false,Reducido,10.0,Keines,Fresco
5801044,Surtido seco,Vinos / Cavas,ES,PlatÃ© Vino de plÃ¡tano afrutado 12%,5801044,"","","","",Vino blanco de Europa,false,false,Ordinario,21.0,18,Bebidas
2559,Fruta y Verdura,Verdura,ES,LECHUGA BATAVIA,"","","","","",Lechuga,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
3007,Surtido seco,Bebidas sin alcohol,ES,La Casera LimÃ³n,5702852,BEBIDAS,BEBIDAS REFRESCANTES,REFRESCO CON GAS,LIMON CON GAS,"Gaseosas, limonadas",false,false,Reducido,10.0,Keines,Bebidas
8458,Surtido seco,Cosmetic,ES,Nike Pack original EdT+desodorante,"","","","","","Desodorante, colonia, perfume, lociÃ³n de afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
9853,Surtido seco,CafÃ©/TÃ©/Cacao,ES,MARCILLA CAFÃ‰ NATURAL PACK AHORRO 3,"","","","","","CafÃ© soluble, sucedÃ¡neos de cafÃ©, cappuccino",false,true,Reducido,10.0,Keines,AlimentaciÃ³n
5704077,Carne,Carne Fresca,ES,Hamburguesa mixta cerdo/vacuno,5704077,FRESCOS PERECEDEROS,CARNE FRESCA,CERDO,CERDO,Cerdo,false,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
816,Nevera,Queso (nev),ES,Gran Maestre queso manchego aprox.7,"","","","","",Queso de pasta dura y semidura (pieza),true,true,Superreducido,4.0,Keines,Fresco
5859,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,Reducido,10.0,Keines,F&V/Plantas y Flores
9528,Nevera,Embutidos (Nevera),ES,CampofrÃ­o Pechuga de pavo reducida,"","","","","",JamÃ³n cocido (lonchas),false,false,Reducido,10.0,Keines,Fresco
5704352,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,"Alba Panetines queso,cebolla carame",5704352,ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN TOSTADO,"PALITO, PICO, PICOLIN","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5800725,Surtido seco,Cervezas / Derivados,ES,Gara Cerveza especial Navidad,5800725,"","","","","Cerveza, combinados de cerveza",false,false,Ordinario,21.0,18,Bebidas
902,Surtido seco,Vinos / Cavas,ES,La Casera Tinto de verano limÃ³n con,5702850,BEBIDAS,TOTAL VINOS,SANGRIA/TINTO,SANGRIA/TINTO,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
2076,Surtido seco,Sopas/Salsas,ES,LITORAL FABES CON ALMEJAS,"",CONSERVAS,P.P.CONS.Y LEG.COCI,PLATOS PREP.CONSERV.,BASE LEGUMBRE/VERDURA,Sopas,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
3816,Surtido seco,Licores,ES,BERTIN OSBORNE CREMA 15Âº,"","","","","",Licores,false,false,Ordinario,21.0,18,Bebidas
82632,Fruta y Verdura,Verdura,ES,Pimiento rojo dulce,82632,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,PIMIENTO,Pimientos,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
82700,Fruta y Verdura,Verdura,ES,Jengibre,82700,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,RESTO VERDURAS,Verduras (GrobegemÃ¼se),true,true,Reducido,10.0,Keines,F&V/Plantas y Flores
5707383,Surtido seco,Alim.BÃ¡sica/Desayuno/Bio,ES,OromÃ¡s SÃ©mola fina,5707383,ALIMENTACION SECA,PASTAS ALIMENTICIAS,PASTA SECA,PASTA SECA,"AlimentaciÃ³n bÃ¡sica (azÃºcar, sal, harina)",false,true,Reducido,10.0,Keines,AlimentaciÃ³n
5800730,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Dulpas Mantecados,5800730,ALIMENTACION SECA,PASTEL.BOLLER.IND.,REST.PAST.BOLL.IND,REST.PAST.BOLL.IND,"Pasteles, tartas, reposterÃ­a, otros",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
52372,Surtido seco,Sopas/Salsas,ES,Yum Yum Sopa de fideos instantanea,"",ALIMENTACION SECA,"SOPAS,CALDOS,PURE,P",SOPAS Y CREMAS,SOPAS,Productos deshidratados,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
5800678,Surtido seco,BollerÃ­a / Chips,ES,Tirma AmbrosÃ­as,5800678,ALIMENTACION SECA,PASTEL.BOLLER.IND.,REST.PAST.BOLL.IND,REST.PAST.BOLL.IND,BollerÃ­a,false,true,Cero,0.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
990,Fruta y Verdura,Verdura,ES,Cebolla Box,"",FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,CEBOLLA,Patatas/cebollas,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
1960,Surtido seco,Art. Limpieza,ES,WIPP PROGRESS 32LAV,"","","","","","Detergentes en polvo, lÃ­quido y en pastillas / suavizante",false,true,Ordinario,21.0,Keines,Surtido NF
3701,Surtido seco,Art. Hogar / medias,ES,Krafft Aceite 2T Scooter,"",ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,"Velas, luces, mecheros, carbÃ³n, lubricantes",false,false,Ordinario,21.0,Keines,Surtido NF
5007,Surtido seco,Delicatessen/Especias/Mostaza,ES,KRAFT SALSA FINA,"","","","","","Mayonesa, salsa tÃ¡rtara",false,false,Reducido,10.0,Keines,AlimentaciÃ³n
5321,Carne,Carne Fresca,ES,.,"",FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,PLATANO,Cerdo,false,false,Cero,0.0,Keines,Pollo/Carne/Pescado
82438,Fruta y Verdura,Verdura,ES,Tomate cocktail rama,82438,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,TOMATE,Tomates,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
82488,Fruta y Verdura,Verdura,ES,Tomate canario 1 kg,82488,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,TOMATE,Tomates,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
1533,Surtido seco,Mopro,ES,Don SimÃ³n Funciona Max Caribe,"",BEBIDAS,"ZUMOS,NECTAR,MOSTO",ZUMO,ZUMO AMBIENTE,Yogures para beber / bebidas,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
3181,Surtido seco,Cosmetic,ES,Oral B Complete dentÃ­frico,"",PERFUMERIA E HIGIENE,HIGIENE BUCAL,DENTIFRICOS,DENTIFRICOS,"Higiene bucal, afeitado",false,false,Ordinario,21.0,Keines,Surtido NF
84660,Fruta y Verdura,Verdura,ES,Patata ecolÃ³gica 1kg,84660,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,PATATA,Patatas/cebollas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5704730,Surtido seco,Vinos / Cavas,ES,Parxet CuvÃ¨e 21 Cava Brut Nature,"","","","","","Cava, vino espumoso, vino de aguja",false,false,Ordinario,21.0,18,Bebidas
5705219,Surtido seco,Art. Hogar / medias,ES,La Patrulla Servilletas,5705219,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,ARTICULOS  RESTO,Otros artÃ­culos domÃ©sticos,false,true,Ordinario,21.0,Keines,Surtido NF
5706057,Carne,Carne Fresca,ES,Granja Ecop. MedallÃ³n cadera eco,5706057,FRESCOS PERECEDEROS,CARNE FRESCA,VACUNO,VACUNO,Carne de vacuno,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
5800708,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Los Compadres Bolsa Mini tostadas,5800708,"","","","","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
781,Surtido seco,Golosinas,ES,NestlÃ© chocolate extrafino pack 4,"","","","","",Tabletas de chocolate (incl. mini),false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
793,Fruta y Verdura,Fruta,ES,CIRUELA AMARILLA CESTA,"","","","","",Frutas de hueso,false,false,Superreducido,4.0,Keines,F&V/Plantas y Flores
6287,Surtido seco,Cosmetic,ES,JACQ'S + DEO,"","","","","","Desodorante, colonia, perfume, lociÃ³n de afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
6412,Surtido seco,Alim. Infantil,ES,Hero Tarrito zanahoria y arroz en c,"","","","","",Leche infantil,false,false,Reducido,10.0,Keines,Conservas
9650,Surtido seco,Art. Limpieza,ES,KH7 VitrocerÃ¡micas espuma,"",DROGUERIA,LIMPIADORES,LIMPIA HORNO VITROCE.,LIMPIA HORNO VITROCE.,Productos de limpieza y lavavajillas,false,false,Ordinario,21.0,Keines,Surtido NF
25350,Surtido seco,Vinos / Cavas,ES,"Christkindl Vino de especias 8,7%",25350,BEBIDAS,TOTAL VINOS,TINTO,VINO EXTRANJERO,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
80710,Fruta y Verdura,Fruta,ES,Mango,80710,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,RESTO FRUTAS,Frutas exÃ³ticas,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
81559,Fruta y Verdura,Fruta,ES,Manzana ecÃ³logica 600 g,81559,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,MANZANA,Frutas de pepita,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
82014,Fruta y Verdura,Verdura,ES,Endibia,82014,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,"LECHUGA, ESCAROLA, COGOLLO, ENDIVIA",Lechuga,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5600092,Nevera,Queso (nev),ES,Queso cremoso de Langres,5600092,"","","","",Queso tierno,false,true,Superreducido,4.0,Keines,Fresco
5704795,Surtido seco,Cosmetic,ES,Tabaibaloe Crema de manos pack 2x1,5704795,PERFUMERIA E HIGIENE,PROD.CORPORALES PERSO.,CREMA DE MANOS,CREMA DE MANOS,"Cremas, lociones, leche corporal, maquillaje",false,false,Ordinario,21.0,Keines,Surtido NF
5707427,Surtido seco,Cosmetic,ES,Nivea Spray Dry Comfort,5707427,PERFUMERIA E HIGIENE,PROD.CORPORALES PERSO.,DESODORANTES,DESODORANTES,"Desodorante, colonia, perfume, lociÃ³n de afeitado",false,true,Ordinario,21.0,Keines,Surtido NF
5800106,Surtido seco,Delicatessen/Especias/Mostaza,ES,Intercasa Alioli  receta canaria,5800106,ALIMENTACION SECA,SALSAS,OTRAS SALSAS,OTRAS SALSAS,"Mayonesa, salsa tÃ¡rtara",false,false,Cero,0.0,Keines,AlimentaciÃ³n
351,Carne,Carne Fresca,ES,ENTRECOT DE TERNERA,"","","","","",Carne de vacuno,true,false,Reducido,10.0,Keines,Pollo/Carne/Pescado
597,Surtido seco,BollerÃ­a / Chips,ES,Pepperidge Farm Goldfish cheddar,"",ALIMENTACION SECA,GALLETAS(DULCE/SAL),GALLET.SALADAS,GALLET.SALADAS,"Aperitivos salados, patatas fritas, productos extrusionados",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
4621,Nevera,Mopro (nev),ES,KAIKU YOGUR NATURAL SIN LACTOSA,"","","","","",Yogur natural,false,true,Reducido,10.0,Keines,Fresco
5308,Frischbrot / Hot Convenience,Bake off,ES,Cresta de crema de cacao,5701020,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,PASTELERIA/BOLLERIA GRANEL,"Pasteles, bollerÃ­a",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
7528,Surtido seco,BollerÃ­a / Chips,ES,Cacahuetes tostados granel,5700333,"","","","","Frutos secos, fruta deshidratada",true,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
8958,Surtido seco,Golosinas,ES,Smint Kiss menta Box,"","","","","","Caramelos, caramelos masticables de fruta",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
22034,Surtido seco,Vinos / Cavas,ES,Vino tinto CirÃ³ DOC clÃ¡sico superio,22034,BEBIDAS,TOTAL VINOS,TINTO,CON DENOMINACION,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
81672,Fruta y Verdura,Fruta,ES,Aguacate ecolÃ³gico,81672,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,FRUTAS,AGUACATE,Frutas exÃ³ticas,false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
5704196,Surtido seco,Aceite/Mantequilla/Margarina,ES,Spray de aceite de oliva con pesto,5704196,ALIMENTACION SECA,ACEITE,ACEITE,OLIVA,Aceites de oliva,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
5706129,Nevera,Embutidos (Nevera),ES,Artysan JamÃ³n serrano GR duroc,5706129,FRESCOS PERECEDEROS,CHARCUTERIA,FIAMBRE Y EMBUTIDOS,JAMON,JamÃ³n curado (lonchas),false,false,Reducido,10.0,Keines,Fresco
5706327,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Bimbo Tostaditas con cebolla,"",ALIMENTACION SECA,PANADERIA INDUSTRIAL,PAN TOSTADO,"BISCOTES,PICATOSTES","Biscotes, pan crujiente, crackers",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5706989,Surtido seco,BollerÃ­a / Chips,ES,CuÃ©tara Avenacol corazones de avena,5706989,ALIMENTACION SECA,GALLETAS(DULCE/SAL),GALLET.DULCES,DIGESTIVE,BollerÃ­a,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
979,Fruta y Verdura,Fruta,ES,Pera granel,"","","","","",Frutas de pepita,true,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
1839,Surtido seco,Cervezas / Derivados,ES,LAIKER CERVEZA SIN ALCOHOL,"","","","","","Cerveza, combinados de cerveza",false,true,Ordinario,21.0,18,Bebidas
7782,Congelado,Congelados,ES,MejillÃ³n cocido en su propio jugo,"",CONGELADOS,PESCADOS Y MARISCOS CONG.,MARISCO CONGELADO,RESTO MARISCO CONG.,Pescado,true,false,Reducido,10.0,Keines,Congelados
5609736,Nevera,Queso (nev),ES,Petit Livarot AOP queso tierno,5609736,"","","","",Queso tierno,false,true,Superreducido,4.0,Keines,Fresco
5704356,Surtido seco,Vinos / Cavas,ES,Letras MinÃºsculas Vino Tinto Rioja,5704356,BEBIDAS,TOTAL VINOS,TINTO,MESA,Vino tinto de Europa,false,false,Ordinario,21.0,18,Bebidas
5705314,Surtido seco,Golosinas,ES,Fini Mini treats,5705314,ALIMENTACION SECA,"CHICLES, CARAMELO, GOLOSI",GOLOSINAS,GOLOSINAS,"Golosinas, regaliz",false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5708047,Surtido seco,BollerÃ­a / Chips,ES,El Gorriaga Galletas rellenas,5708047,ALIMENTACION SECA,GALLETAS(DULCE/SAL),GALLET.DULCES,RELLENA/SANDWICH,BollerÃ­a,false,true,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
3042,Surtido seco,CafÃ©/TÃ©/Cacao,ES,Marcilla CafÃ© Mezcla Cuadruplo,"","","","","",CafÃ© tostado,false,true,Reducido,10.0,Keines,AlimentaciÃ³n
6009,Nevera,Delicatesen (nev),ES,LA GULA DEL NORTE RACION SETAS,"","","","","",Delicatessen de pescado,false,true,Reducido,10.0,Keines,Fresco
9713,Surtido seco,Art. Limpieza,ES,Vernel Suavizante concentrado 130 L,"","","","","","Detergentes en polvo, lÃ­quido y en pastillas / suavizante",false,false,Ordinario,21.0,Keines,Surtido NF
