productid,merchandisegroup,merchandisesubgroup,isocountrycode,article,internationalarticlenumber,sectionname,familyname,categoryname,subcategoryname,merchandisefamily,weightproduct,scaleproduct,vatdescription,vatrate,agelimit,hwgdescription
80701,Fruta y Verdura,Fruta,ES,Hortensia,80701,"","","","",Frutas exÃ³ticas,false,true,Reducido,10.0,Keines,F&V/Plantas y Flores
83094,Fruta y Verdura,Verdura,ES,Perejil,83094,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,RESTO VERDURAS,Hierbas aromÃ¡ticas,false,false,Reducido,10.0,Keines,F&V/Plantas y Flores
83560,Fruta y Verdura,Verdura,ES,Romero,83560,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,RESTO VERDURAS,Hierbas aromÃ¡ticas,false,true,Reducido,10.0,Keines,F&V/Plantas y Flores
5705665,Surtido seco,Brot/Backwaren/Kuchen haltbar,ES,Croissants surt.,5708254,ALIMENTACION SECA,PASTEL.BOLLER.IND.,CROISSANTERIA,CROISSANTERIA,"Croissants, bollos, magdalenas",false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
5705852,Congelado,Congelados,ES,Coquina cruda congelada IQF,5705852,CONGELADOS,PESCADOS Y MARISCOS CONG.,MARISCO CONGELADO,RESTO MARISCO CONG.,Pescado,true,true,Reducido,10.0,Keines,Congelados
6404,Surtido seco,Art. Limpieza,ES,Flor suavizante concentrado surt.,"","","","","","Detergentes en polvo, lÃ­quido y en pastillas / suavizante",false,false,Ordinario,21.0,Keines,Surtido NF
7927,Surtido seco,Art. Limpieza,ES,Pato Discos activo recambio lima,"",DROGUERIA,LIMPIADORES,LIMPIADORES WC,LIMPIADORES WC,Productos de limpieza y lavavajillas,false,true,Ordinario,21.0,Keines,Surtido NF
8776,Fruta y Verdura,Fruta,ES,.,"","","","","",Bananas/PlÃ¡tanos,false,false,Ordinario,21.0,Keines,F&V/Plantas y Flores
9313,Surtido seco,Golosinas,ES,Lacasitos/Conguitos/BombÃ³n tabletas,"","","","","",Otros productos dulces,false,false,Reducido,10.0,Keines,Pan/BollerÃ­a/Golosinas/OTC
82869,Fruta y Verdura,Verdura,ES,Mini apio snack,82869,FRESCOS PERECEDEROS,FRUTAS Y HORTALIZAS,VERDURAS/HORTALIZAS,RESTO VERDURAS,Verduras (GrobegemÃ¼se),false,true,Superreducido,4.0,Keines,F&V/Plantas y Flores
